iter	Passed	Remaining
305	706	1601
306	708	1599
307	710	1595
308	712	1592
309	714	1590
310	716	1587
311	718	1584
312	720	1581
313	723	1579
314	724	1575
315	726	1571
316	728	1569
317	731	1568
318	732	1564
319	734	1561
320	736	1558
321	739	1556
322	740	1552
323	743	1550
324	744	1547
325	747	1545
326	749	1541
327	750	1538
328	752	1535
329	755	1534
330	757	1530
331	760	1529
332	762	1527
333	764	1524
334	766	1521
335	768	1518
336	772	1519
337	773	1515
338	775	1512
339	779	1512
340	781	1509
341	783	1506
342	784	1503
343	787	1501
344	788	1497
345	790	1494
346	792	1491
347	794	1489
348	796	1486
349	798	1483
350	801	1481
351	803	1478
352	805	1476
353	807	1473
354	809	1471
355	811	1468
356	813	1465
357	815	1462
358	817	1459
359	819	1457
360	821	1453
361	823	1450
362	825	1448
363	827	1446
364	829	1443
365	831	1439
366	833	1437
367	835	1435
368	837	1432
369	839	1430
370	841	1427
371	844	1425
372	846	1422
373	848	1419
374	850	1417
375	853	1416
376	855	1413
377	857	1411
378	861	1410
379	862	1407
380	864	1405
381	866	1402
382	869	1400
383	871	1398
384	873	1394
385	875	1392
386	877	1390
387	879	1386
388	881	1384
389	883	1381
390	885	1379
391	887	1376
392	889	1374
393	892	1372
394	894	1369
395	895	1366
396	897	1363
397	900	1361
398	902	1359
399	904	1356
400	906	1353
401	908	1351
402	910	1349
403	912	1346
404	914	1343
405	917	1342
406	919	1339
407	921	1336
408	923	1333
409	926	1333
410	928	1330
411	930	1327
412	931	1324
413	934	1323
414	937	1321
415	939	1318
416	941	1316
417	943	1314
418	945	1311
419	948	1309
420	951	1308
421	953	1306
422	955	1303
423	957	1300
424	960	1300
425	962	1297
426	964	1294
427	966	1292
428	969	1290
429	971	1287
430	973	1284
431	975	1282
432	977	1280
433	979	1277
434	982	1276
435	985	1274
436	987	1272
437	990	1270
438	992	1268
439	997	1269
440	998	1266
441	1001	1263
442	1004	1262
443	1006	1260
444	1008	1257
445	1010	1254
446	1012	1253
447	1014	1250
448	1016	1247
449	1018	1244
450	1020	1242
451	1022	1239
452	1024	1237
453	1026	1234
454	1029	1232
455	1030	1229
456	1032	1227
457	1034	1224
458	1037	1222
459	1038	1219
460	1041	1217
461	1043	1215
462	1046	1213
463	1047	1210
464	1050	1208
465	1052	1206
466	1054	1203
467	1056	1200
468	1058	1198
469	1060	1196
470	1062	1193
471	1064	1190
472	1066	1188
473	1069	1186
474	1071	1184
475	1073	1181
476	1076	1180
477	1078	1177
478	1080	1175
479	1082	1172
480	1085	1170
481	1086	1167
482	1088	1164
483	1090	1163
484	1093	1161
485	1095	1158
486	1097	1156
487	1100	1154
488	1102	1151
489	1104	1149
490	1106	1146
491	1108	1144
492	1110	1142
493	1112	1140
494	1115	1137
495	1117	1135
496	1119	1132
497	1121	1130
498	1122	1127
499	1124	1124
500	1126	1122
501	1128	1119
502	1130	1116
503	1133	1115
504	1134	1112
505	1137	1110
506	1139	1107
507	1141	1105
508	1143	1103
509	1145	1100
510	1147	1097
511	1149	1095
512	1151	1092
513	1153	1090
514	1155	1087
515	1157	1086
516	1159	1083
517	1161	1080
518	1163	1078
519	1166	1076
520	1167	1073
521	1169	1071
522	1171	1068
523	1174	1066
524	1175	1063
525	1177	1060
526	1179	1058
527	1181	1056
528	1183	1053
529	1184	1050
530	1186	1047
531	1189	1046
532	1191	1043
533	1193	1041
534	1195	1038
535	1197	1036
536	1199	1033
537	1200	1031
538	1203	1029
539	1205	1026
540	1207	1024
541	1209	1021
542	1211	1019
543	1213	1017
544	1215	1014
545	1216	1011
546	1219	1009
547	1221	1007
548	1223	1004
549	1225	1002
550	1227	1000
551	1229	997
552	1231	995
553	1232	992
554	1235	990
555	1238	988
556	1239	986
557	1241	983
558	1243	980
559	1245	978
560	1248	976
561	1250	974
562	1252	971
563	1254	969
564	1256	967
565	1258	964
566	1260	962
567	1262	960
568	1265	958
569	1266	955
570	1268	953
571	1270	950
572	1272	948
573	1274	945
574	1277	943
575	1278	941
576	1281	939
577	1283	936
578	1285	934
579	1288	933
580	1290	930
581	1292	928
582	1293	925
583	1297	923
584	1298	921
585	1300	918
586	1302	916
587	1305	914
588	1306	911
589	1308	909
590	1310	906
591	1312	904
592	1314	902
593	1316	899
594	1318	897
595	1320	895
596	1322	892
597	1324	890
598	1327	888
599	1328	885
600	1329	882
601	1332	881
602	1335	879
603	1336	876
604	1338	874
605	1340	871
606	1342	869
607	1344	866
608	1346	864
609	1349	862
610	1351	860
611	1353	857
612	1354	855
613	1357	853
614	1359	851
615	1361	848
616	1363	846
617	1366	844
618	1368	842
619	1370	839
620	1372	837
621	1374	835
622	1376	833
623	1378	830
624	1380	828
625	1383	826
626	1384	823
627	1386	821
628	1388	819
629	1391	817
630	1393	814
631	1395	812
632	1397	810
633	1399	807
634	1400	805
635	1402	802
636	1404	800
637	1407	798
638	1409	796
639	1411	794
640	1414	792
641	1416	789
642	1418	787
643	1420	785
644	1423	783
645	1425	781
646	1427	778
647	1430	776
648	1431	774
649	1433	771
650	1434	769
651	1437	767
652	1439	764
653	1440	762
654	1443	760
655	1445	757
656	1446	755
657	1449	753
658	1451	751
659	1453	748
660	1455	746
661	1456	743
662	1458	741
663	1460	739
664	1463	737
665	1466	735
666	1467	732
667	1469	730
668	1471	728
669	1473	725
670	1475	723
671	1476	720
672	1478	718
673	1481	716
674	1483	714
675	1485	711
676	1487	709
677	1489	707
678	1491	705
679	1494	703
680	1496	700
681	1498	698
682	1499	696
683	1501	693
684	1503	691
685	1505	689
686	1507	686
687	1509	684
688	1512	682
689	1513	680
690	1515	677
691	1517	675
692	1520	673
693	1522	671
694	1523	668
695	1525	666
696	1527	664
697	1529	661
698	1531	659
699	1533	657
700	1536	655
701	1538	652
702	1540	650
703	1542	648
704	1544	646
705	1546	643
706	1548	641
707	1550	639
708	1552	637
709	1553	634
710	1555	632
711	1557	629
712	1559	627
713	1561	625
714	1563	623
715	1566	621
716	1568	618
717	1569	616
718	1571	614
719	1574	612
720	1576	610
721	1578	607
722	1580	605
723	1583	603
724	1585	601
725	1587	599
726	1591	597
727	1592	595
728	1594	592
729	1596	590
730	1599	588
731	1601	586
732	1603	583
733	1605	581
734	1607	579
735	1608	577
736	1610	574
737	1613	572
738	1615	570
739	1617	568
740	1619	565
741	1621	563
742	1623	561
743	1624	559
744	1626	556
745	1628	554
746	1630	552
747	1632	549
748	1634	547
749	1636	545
750	1638	543
751	1640	541
752	1642	538
753	1645	536
754	1647	534
755	1649	532
756	1652	530
757	1654	528
758	1656	526
759	1659	523
760	1661	521
761	1662	519
762	1664	517
763	1667	515
764	1669	512
765	1671	510
766	1673	508
767	1675	506
768	1677	503
769	1678	501
770	1681	499
771	1683	497
772	1685	494
773	1687	492
774	1689	490
775	1691	488
776	1693	486
777	1696	483
778	1698	481
779	1700	479
780	1701	477
781	1703	475
782	1706	472
783	1708	470
784	1709	468
785	1712	466
786	1714	464
787	1716	461
788	1717	459
789	1719	457
790	1721	454
791	1723	452
792	1725	450
793	1727	448
794	1730	446
795	1732	443
796	1733	441
797	1736	439
798	1739	437
799	1740	435
800	1742	432
801	1743	430
802	1745	428
803	1746	425
804	1748	423
805	1750	421
806	1752	419
807	1753	416
808	1755	414
809	1756	412
810	1758	409
811	1760	407
812	1761	405
813	1763	402
814	1764	400
815	1766	398
816	1767	395
817	1769	393
818	1771	391
819	1772	389
820	1773	386
821	1775	384
822	1776	382
823	1778	379
824	1779	377
825	1781	375
826	1783	373
827	1784	370
828	1786	368
829	1787	366
830	1789	363
831	1790	361
832	1792	359
833	1793	357
834	1795	354
835	1796	352
836	1798	350
837	1799	347
838	1801	345
839	1802	343
840	1804	341
841	1805	338
842	1807	336
843	1808	334
844	1810	332
845	1811	329
846	1813	327
847	1815	325
848	1816	323
849	1818	320
850	1819	318
851	1821	316
852	1822	314
853	1824	311
854	823	3230	855	824	3233	685
825	3235	681
826	3238	677
827	3241	673
828	3244	669
829	3246	664
830	3249	660
831	3252	656
832	3255	652
833	3257	648
834	3260	644
835	3263	640
836	3266	636
837	3268	631
838	3272	627
839	3274	623
840	3277	619
841	3279	615
842	3282	611
843	3285	607
844	3287	603
845	3290	598
846	3293	594
847	3295	590
848	3298	586
849	3301	582
850	3304	578
851	3307	574
852	3308	570
853	3311	566
854	3313	561
855	3316	557
856	3319	553
857	3322	549
858	3325	545
859	3328	541
860	3331	537
861	3334	533
862	3337	529
863	3341	525
864	3344	521
865	3347	517
866	3350	513
867	3353	509
868	3356	506
869	3359	502
870	3362	497
871	3365	493
872	3368	490
873	3371	486
874	3374	482
875	3377	478
876	3380	474
877	3383	470
878	3386	466
879	3388	462
880	3392	458
881	3394	454
882	3397	450
883	3400	446
884	3403	442
885	3406	438
886	3409	434
887	3410	430
888	3413	426
889	3416	422
890	3418	418
891	3421	414
892	3424	410
893	3427	406
894	3430	402
895	3433	398
896	3436	394
897	3439	390
898	3442	386
899	3445	382
900	3448	378
901	3450	374
902	3453	370
903	3456	367
904	3457	362
905	3460	359
906	3463	355
907	3465	351
908	3468	347
909	3472	343
910	3474	339
911	3478	335
912	3480	331
913	3483	327
914	3486	323
915	3488	319
916	3490	315
917	3492	311
918	3495	308
919	3497	304
920	3500	300
921	3502	296
922	3505	292
923	3507	288
924	3510	284
925	3512	280
926	3514	276
927	3517	272
928	3519	268
929	3521	265
930	3524	261
931	3527	257
932	3530	253
933	3532	249
934	3535	245
935	3537	241
936	3539	238
937	3542	234
938	3544	230
939	3547	226
940	3550	222
941	3552	218
942	3555	214
943	3557	211
944	3560	207
945	3562	203
946	3564	199
947	3567	195
948	3569	191
949	3572	188
950	3574	184
951	3576	180
952	3579	176
953	3582	172
954	3586	168
955	3589	165
956	3592	161
957	3594	157
958	3597	153
959	3599	149
960	3602	146
961	3604	142
962	3608	138
963	3610	134
964	3612	131
965	3615	127
966	3616	123
967	3619	119
968	3621	115
969	3624	112
970	3625	108
971	3628	104
972	3631	100
973	3634	97
974	3637	93
975	3640	89
976	3642	85
977	3644	81
978	3647	78
979	3649	74
980	3651	70
981	3654	66
982	3656	63
983	3658	59
984	3661	55
985	3663	52
986	3665	48
987	3667	44
988	3670	40
989	3673	37
990	3676	33
991	3678	29
992	3681	25
993	3683	22
994	3686	18
995	3688	14
996	3690	11
997	3693	7
998	3695	3
999	3697	0
7	7975	179
978	7983	171
979	7991	163
980	7999	154
981	8007	146
982	8016	138
983	8024	130
984	8032	122
985	8040	114
986	8048	106
987	8056	97
988	8063	89
989	8071	81
990	8079	73
991	8087	65
992	8094	57
993	8102	48
994	8110	40
995	8118	32
996	8126	24
997	8134	16
998	8142	8
999	8151	0
